sim_id,supercelula,num_atomos,a,c,c/a,energia_total_eV,Volume_A³,energia_total_Ry,Volume_(a.u)^3,forcas_eV_Ang,forcas_Ry_Bohr
ZnO-2.94-1.45-111,1x1x1,4,2.9427380511605845,4.27557179750639,1.452923,-4914.31881826995,32.064748864969225,-361.19577399470035,216.3836512422221,"[[-0.         -0.         -5.55985169]
 [ 0.          0.         -5.55985169]
 [ 0.          0.          5.55985169]
 [ 0.          0.          5.55985169]]","[[-0.        -0.        -0.2162438]
 [ 0.         0.        -0.2162438]
 [ 0.         0.         0.2162438]
 [ 0.         0.         0.2162438]]"
ZnO-2.94-1.49-111,1x1x1,4,2.9427380511605845,4.370583980964211,1.4852099999999997,-4915.220202027284,32.777294916345156,-361.26202447944434,221.19215034895913,"[[-0.         -0.         -3.95390595]
 [ 0.          0.         -3.95390595]
 [-0.         -0.          3.95390595]
 [ 0.          0.          3.95390595]]","[[-0.         -0.         -0.15378246]
 [ 0.          0.         -0.15378246]
 [-0.         -0.          0.15378246]
 [ 0.          0.          0.15378246]]"
ZnO-2.94-1.52-111,1x1x1,4,2.9427380511605845,4.465596164422034,1.517497,-4915.973006322495,33.489840967721065,-361.3173545750548,226.00064945569602,"[[ 0.          0.         -2.62872698]
 [ 0.         -0.         -2.62872698]
 [ 0.          0.          2.62872698]
 [ 0.          0.          2.62872698]]","[[ 0.         0.        -0.1022412]
 [ 0.        -0.        -0.1022412]
 [ 0.         0.         0.1022412]
 [ 0.         0.         0.1022412]]"
ZnO-2.94-1.55-111,1x1x1,4,2.9427380511605845,4.560608347879856,1.5497840000000003,-4916.5994019026975,34.20238701909699,-361.3633938014023,230.80914856243302,"[[ 0.          0.         -1.54398653]
 [ 0.          0.         -1.54398653]
 [ 0.          0.          1.54398653]
 [ 0.         -0.          1.54398653]]","[[ 0.          0.         -0.06005152]
 [ 0.          0.         -0.06005152]
 [ 0.          0.          0.06005152]
 [ 0.         -0.          0.06005152]]"
ZnO-2.94-1.58-111,1x1x1,4,2.9427380511605845,4.655620531337677,1.582071,-4917.118557419086,34.91493307047292,-361.40155102837514,235.61764766917005,"[[-0.         -0.         -0.66267176]
 [ 0.         -0.         -0.66267176]
 [ 0.          0.          0.66267176]
 [ 0.          0.          0.66267176]]","[[-0.         -0.         -0.02577383]
 [ 0.         -0.         -0.02577383]
 [ 0.          0.          0.02577383]
 [ 0.          0.          0.02577383]]"
ZnO-2.94-1.61-111,1x1x1,4,2.9427380511605845,4.750632714795499,1.614358,-4917.545911794524,35.62747912184884,-361.4329609958832,240.42614677590703,"[[ 0.          0.          0.04744842]
 [ 0.         -0.          0.04744842]
 [ 0.         -0.         -0.04744842]
 [ 0.         -0.         -0.04744842]]","[[ 0.          0.          0.00184545]
 [ 0.         -0.          0.00184545]
 [ 0.         -0.         -0.00184545]
 [ 0.         -0.         -0.00184545]]"
ZnO-2.94-1.65-111,1x1x1,4,2.9427380511605845,4.845647840991372,1.646646,-4917.894902282478,36.34004724235635,-361.4586113238483,245.23479481252622,"[[ 0.          0.          0.61257741]
 [ 0.         -0.          0.61257741]
 [ 0.          0.         -0.61257741]
 [ 0.          0.         -0.61257741]]","[[ 0.          0.          0.02382547]
 [ 0.         -0.          0.02382547]
 [ 0.          0.         -0.02382547]
 [ 0.          0.         -0.02382547]]"
ZnO-2.94-1.68-111,1x1x1,4,2.9427380511605845,4.940660024449194,1.6789330000000002,-4918.178083807294,37.05259329373228,-361.47942478219704,250.04329391926325,"[[ 0.          0.          1.05567927]
 [ 0.          0.          1.05567927]
 [ 0.         -0.         -1.05567927]
 [ 0.         -0.         -1.05567927]]","[[ 0.          0.          0.04105939]
 [ 0.          0.          0.04105939]
 [ 0.         -0.         -0.04105939]
 [ 0.         -0.         -0.04105939]]"
ZnO-2.94-1.71-111,1x1x1,4,2.9427380511605845,5.035672207907015,1.71122,-4918.404216529778,37.76513934510819,-361.4960452308785,254.85179302600014,"[[-0.         -0.          1.39459309]
 [-0.          0.          1.39459309]
 [ 0.          0.         -1.39459309]
 [ 0.         -0.         -1.39459309]]","[[-0.         -0.          0.05424104]
 [-0.          0.          0.05424104]
 [ 0.          0.         -0.05424104]
 [ 0.         -0.         -0.05424104]]"
ZnO-2.94-1.74-111,1x1x1,4,2.9427380511605845,5.130684391364837,1.743507,-4918.582422113973,38.47768539648413,-361.5091430998393,259.66029213273725,"[[ 0.          0.          1.64630075]
 [-0.         -0.          1.64630075]
 [ 0.          0.         -1.64630075]
 [ 0.          0.         -1.64630075]]","[[ 0.          0.          0.06403091]
 [-0.         -0.          0.06403091]
 [ 0.          0.         -0.06403091]
 [ 0.          0.         -0.06403091]]"
ZnO-2.94-1.78-111,1x1x1,4,2.9427380511605845,5.225696574822659,1.7757939999999999,-4918.7195487128,39.19023144786006,-361.5192217190397,264.4687912394743,"[[ 0.          0.          1.82381331]
 [ 0.          0.          1.82381331]
 [ 0.          0.         -1.82381331]
 [ 0.          0.         -1.82381331]]","[[ 0.          0.          0.07093504]
 [ 0.          0.          0.07093504]
 [ 0.          0.         -0.07093504]
 [ 0.          0.         -0.07093504]]"
ZnO-3.01-1.45-111,1x1x1,4,3.00813218303729,4.370584435775088,1.4529229999999997,-4916.118644097968,34.2502523907759,-361.3280587542056,231.13216010185172,"[[ 0.          0.         -4.60408009]
 [ 0.          0.         -4.60408009]
 [ 0.          0.          4.60408009]
 [ 0.          0.          4.60408009]]","[[ 0.          0.         -0.17907021]
 [ 0.          0.         -0.17907021]
 [ 0.          0.          0.17907021]
 [ 0.          0.          0.17907021]]"
ZnO-3.01-1.49-111,1x1x1,4,3.00813218303729,4.467707999568813,1.48521,-4916.8466532441425,35.01136491975437,-361.3815664399606,236.2684020453054,"[[ 0.          0.         -3.25162429]
 [ 0.          0.         -3.25162429]
 [ 0.         -0.          3.25162429]
 [ 0.          0.          3.25162429]]","[[ 0.          0.         -0.12646805]
 [ 0.          0.         -0.12646805]
 [ 0.         -0.          0.12646805]
 [ 0.          0.          0.12646805]]"
ZnO-3.01-1.52-111,1x1x1,4,3.00813218303729,4.564831563362539,1.517497,-4917.445293348859,35.772477448732836,-361.4255656764699,241.40464398875903,"[[ 0.         -0.         -2.14808419]
 [ 0.          0.         -2.14808419]
 [ 0.          0.          2.14808419]
 [ 0.          0.          2.14808419]]","[[ 0.         -0.         -0.08354717]
 [ 0.          0.         -0.08354717]
 [ 0.          0.          0.08354717]
 [ 0.          0.          0.08354717]]"
ZnO-3.01-1.55-111,1x1x1,4,3.00813218303729,4.661955127156264,1.5497840000000003,-4917.935574049487,36.53358997771131,-361.4616006436111,246.5408859322127,"[[-0.         -0.         -1.25427051]
 [-0.         -0.         -1.25427051]
 [ 0.         -0.          1.25427051]
 [ 0.          0.          1.25427051]]","[[-0.         -0.         -0.04878336]
 [-0.         -0.         -0.04878336]
 [ 0.         -0.          0.04878336]
 [ 0.          0.          0.04878336]]"
ZnO-3.01-1.58-111,1x1x1,4,3.00813218303729,4.7590786909499885,1.582071,-4918.332496029551,37.29470250668978,-361.4907738712967,251.67712787566637,"[[ 0.         0.        -0.5371919]
 [ 0.         0.        -0.5371919]
 [ 0.         0.         0.5371919]
 [ 0.         0.         0.5371919]]","[[ 0.          0.         -0.02089344]
 [ 0.          0.         -0.02089344]
 [ 0.          0.          0.02089344]
 [ 0.          0.          0.02089344]]"
ZnO-3.01-1.61-111,1x1x1,4,3.00813218303729,4.856202254743713,1.6143579999999997,-4918.651811278887,38.055815035668225,-361.51424310943474,256.8133698191198,"[[ 0.         -0.          0.03198144]
 [-0.         -0.          0.03198144]
 [ 0.         -0.         -0.03198144]
 [ 0.          0.         -0.03198144]]","[[ 0.         -0.          0.00124388]
 [-0.         -0.          0.00124388]
 [ 0.         -0.         -0.00124388]
 [ 0.          0.         -0.00124388]]"
ZnO-3.01-1.65-111,1x1x1,4,3.00813218303729,4.953328826669622,1.646646,-4918.904091011957,38.816951137989825,-361.53278532796367,261.9497708433784,"[[-0.         -0.          0.47599758]
 [ 0.         -0.          0.47599758]
 [ 0.         -0.         -0.47599758]
 [ 0.          0.         -0.47599758]]","[[-0.         -0.          0.01851336]
 [ 0.         -0.          0.01851336]
 [ 0.         -0.         -0.01851336]
 [ 0.          0.         -0.01851336]]"
