#55. Hewat, A. W. Lattice dynamics of ZnO and BeO. Solid State Commun. 8, 187–189 (1970).
# 56. Thoma, K., Dorner, B., Duesing, G. & Wegener, W. Lattice dynamics of ZnO. Solid State Commun. 15, 1111–1114 (1974).
k;Freq_THz
0.14547855390892317;2.713886402311058
0.3830689440388845;3.6053477263476132
0.47893181028385556;3.9903218027855267
0.6470713759983341;4.947868917145408
0.9614499757585989;5.042120642439638
0.9635693820491177;4.199904870330721
1.0197336487478617;5.395830470690717
1.0295683994490639;7.8815389100957844
1.0260918676194173;7.084633908559889
1.0723655716290743;6.742015298797259
1.073914857945966;5.594519678343653
1.071659102865568;3.5011836126217943
1.0725700948138934;3.0427111639753583
1.0749895984649545;7.796970679427435
1.1225248538380157;6.253519920731078
1.1229462626147084;5.634518337403437
1.1235721945762203;2.655170069549861
1.173390604810463;7.2649331659269585
1.1742383673266703;5.697041671323673
1.1839876362630561;2.6143017544907785
1.1797488236820186;3.181419072571245
1.2189578400566137;7.45260556285737
1.221665970316721;4.947558639213012
1.2200175432018727;2.603360204433635
1.2645250753027644;7.381650910488981
1.2687638878838015;4.431466815557632
1.2713071754324239;4.063615234110992
1.273002700464839;5.156191618953281
1.2965355277338286;3.6470504177843157
1.3111520136941746;1.6047487988945797
1.3175102325657302;7.551540334594344
1.3175102325657302;3.0213132375018574
1.3196296388562487;4.5145224173729925
1.3602011307033197;2.442066024526202
1.366862121902093;3.7154247822097393
1.3683759835381775;2.179640998117165
1.370495389828696;7.76737008982515
1.3832118275718082;0.7562233208131879
1.402286484186476;1.5533022449542067
1.4187118829379952;3.2152776165115675
1.4203014376558842;0.9321743163864937
1.4213611408011437;0.5212753928043554
1.5078329174543037;3.006638785157868
1.5273314553270754;1.004098812518297
1.5553175082875654;3.115984450820047
1.5534273499959754;0.6097623355834116
1.5510786957065283;7.692677469450507
1.602787264232361;3.4072309859719816
1.6032210354161087;1.9454938994767943
1.6566152390487123;2.361511774012957
1.6468857499636145;3.227423905456245
1.6924604026539982;2.957763237347688
1.7424511938147176;1.6350802880918565
1.737152678088421;7.061717165059619
1.7449238344869893;3.567721171060928
1.7405486731160726;2.9144604422104976
1.7880184290608683;1.7851780314783134
1.8274393860645146;2.6203420572869014
1.830406554871241;2.011807545620808
1.8798593683166755;2.5100458761565427
1.8776717876312174;2.004723230268663
1.934257463106654;5.163564758516625
1.934257463106654;2.2369955164512447
0.4852122527777778;4.024435197769973
1.0717325583333333;3.8217003567181944
1.0264105347222223;3.1362960760998817
1.125052586111111;3.223008323424498
1.1736330556680175;3.099887698251095
1.5516128083333331;1.3870986920332946
1.5996008333333331;0.8311533888228304
1.6475888583333331;1.109928656361479
1.6902448805555559;1.4100475624256887
1.7862209305555554;2.63109393579073
1.7408989069444445;2.6733947681331784
1.6475888583333331;7.5094530321046395
1.8342089555555559;6.419976218787161
1.5089567861111113;3.3557074910820504
1.7835549291666668;4.1934898929845446
1.418312738888889;3.4831153388822855
1.322336688888889;3.3750297265160576
1.340998698611111;2.668935790725328
1.322336688888889;4.0599286563614765
1.274348663888889;4.808501783590966
1.2236946375;5.321611177170038
1.1730406111111114;5.385255648038054
