ZnO_Hub_7.50_7.50,3.0048
ZnO_Hub_6.00_8.00,3.0159
ZnO_Hub_10.00_7.00,3.0252
ZnO_Hub_8.00_7.50,3.0377
ZnO_Hub_5.00_8.50,3.0483
ZnO_Hub_10.50_7.00,3.0498
ZnO_Hub_6.50_8.00,3.0561
ZnO_Hub_4.00_9.00,3.0640
ZnO_Hub_8.50_7.50,3.0689
ZnO_Hub_11.00_7.00,3.0730
ZnO_Hub_7.00_8.00,3.0939
ZnO_Hub_5.50_8.50,3.0948
ZnO_Hub_11.50_7.00,3.0952
ZnO_Hub_9.00_7.50,3.0983
ZnO_Hub_12.00_7.00,3.1164
ZnO_Hub_4.50_9.00,3.1181
ZnO_Hub_9.50_7.50,3.1263
ZnO_Hub_7.50_8.00,3.1298
ZnO_Hub_6.00_8.50,3.1387
ZnO_Hub_10.00_7.50,3.1529
ZnO_Hub_8.00_8.00,3.1636
ZnO_Hub_5.00_9.00,3.1691
ZnO_Hub_10.50_7.50,3.1780
ZnO_Hub_6.50_8.50,3.1800
ZnO_Hub_4.00_9.50,3.1823
ZnO_Hub_8.50_8.00,3.1956
ZnO_Hub_11.00_7.50,3.2019
ZnO_Hub_5.50_9.00,3.2171
ZnO_Hub_7.00_8.50,3.2191
ZnO_Hub_11.50_7.50,3.2246
ZnO_Hub_9.00_8.00,3.2260
ZnO_Hub_4.50_9.50,3.2381
ZnO_Hub_12.00_7.50,3.2463
ZnO_Hub_9.50_8.00,3.2546
ZnO_Hub_7.50_8.50,3.2559
ZnO_Hub_6.00_9.00,3.2623
ZnO_Hub_10.00_8.00,3.2819
ZnO_Hub_8.00_8.50,3.2907
ZnO_Hub_5.00_9.50,3.2907
ZnO_Hub_4.00_10.00,3.3011
ZnO_Hub_6.50_9.00,3.3050
ZnO_Hub_10.50_8.00,3.3077
ZnO_Hub_8.50_8.50,3.3237
ZnO_Hub_11.00_8.00,3.3322
ZnO_Hub_5.50_9.50,3.3402
ZnO_Hub_7.00_9.00,3.3452
ZnO_Hub_9.00_8.50,3.3549
ZnO_Hub_11.50_8.00,3.3556
ZnO_Hub_4.50_10.00,3.3586
ZnO_Hub_12.00_8.00,3.3778
ZnO_Hub_7.50_9.00,3.3832
ZnO_Hub_9.50_8.50,3.3844
ZnO_Hub_6.00_9.50,3.3868
ZnO_Hub_10.00_8.50,3.4123
ZnO_Hub_5.00_10.00,3.4130
ZnO_Hub_8.00_9.00,3.4190
ZnO_Hub_4.00_10.50,3.4202
ZnO_Hub_6.50_9.50,3.4308
ZnO_Hub_10.50_8.50,3.4388
ZnO_Hub_8.50_9.00,3.4529
ZnO_Hub_11.00_8.50,3.4640
ZnO_Hub_5.50_10.00,3.4641
ZnO_Hub_7.00_9.50,3.4723
ZnO_Hub_4.50_10.50,3.4797
ZnO_Hub_9.00_9.00,3.4850
ZnO_Hub_11.50_8.50,3.4879
ZnO_Hub_12.00_8.50,3.5107
ZnO_Hub_7.50_9.50,3.5114
ZnO_Hub_6.00_10.00,3.5123
ZnO_Hub_9.50_9.00,3.5153
ZnO_Hub_5.00_10.50,3.5358
ZnO_Hub_4.00_11.00,3.5399
ZnO_Hub_10.00_9.00,3.5440
ZnO_Hub_8.00_9.50,3.5484
ZnO_Hub_6.50_10.00,3.5576
ZnO_Hub_10.50_9.00,3.5713
ZnO_Hub_8.50_9.50,3.5833
ZnO_Hub_5.50_10.50,3.5886
ZnO_Hub_11.00_9.00,3.5971
ZnO_Hub_7.00_10.00,3.6003
ZnO_Hub_4.50_11.00,3.6014
ZnO_Hub_9.00_9.50,3.6162
ZnO_Hub_11.50_9.00,3.6217
ZnO_Hub_6.00_10.50,3.6383
ZnO_Hub_7.50_10.00,3.6407
ZnO_Hub_12.00_9.00,3.6450
ZnO_Hub_9.50_9.50,3.6474
ZnO_Hub_5.00_11.00,3.6593
ZnO_Hub_4.00_11.50,3.6597
ZnO_Hub_10.00_9.50,3.6771
ZnO_Hub_8.00_10.00,3.6787
