relax_hzno_3.30_4.20.out:!    total energy              =    -901.80063969 Ry
relax_hzno_3.45_4.00.out:!    total energy              =    -901.80123504 Ry
relax_hzno_3.45_4.70.out:!    total energy              =    -901.80123834 Ry
relax_hzno_3.25_4.40.out:!    total energy              =    -901.80298919 Ry
relax_hzno_3.50_4.50.out:!    total energy              =    -901.80306667 Ry
relax_hzno_3.50_4.00.out:!    total energy              =    -901.80310875 Ry
relax_hzno_3.40_4.80.out:!    total energy              =    -901.80432992 Ry
relax_hzno_3.35_4.90.out:!    total energy              =    -901.80589754 Ry
relax_hzno_3.25_4.90.out:!    total energy              =    -901.80656607 Ry
relax_hzno_3.45_4.60.out:!    total energy              =    -901.80662960 Ry
relax_hzno_3.40_4.10.out:!    total energy              =    -901.80669096 Ry
relax_hzno_3.25_4.50.out:!    total energy              =    -901.80689877 Ry
relax_hzno_3.50_4.40.out:!    total energy              =    -901.80765647 Ry
relax_hzno_3.30_4.30.out:!    total energy              =    -901.80789723 Ry
relax_hzno_3.25_4.80.out:!    total energy              =    -901.80832759 Ry
relax_hzno_3.30_4.90.out:!    total energy              =    -901.80867309 Ry
relax_hzno_3.25_4.60.out:!    total energy              =    -901.80884330 Ry
relax_hzno_3.35_4.20.out:!    total energy              =    -901.80897634 Ry
relax_hzno_3.50_4.10.out:!    total energy              =    -901.80898085 Ry
relax_hzno_3.40_4.70.out:!    total energy              =    -901.80914448 Ry
relax_hzno_3.25_4.70.out:!    total energy              =    -901.80920202 Ry
relax_hzno_3.45_4.10.out:!    total energy              =    -901.80937570 Ry
relax_hzno_3.35_4.80.out:!    total energy              =    -901.81005278 Ry
relax_hzno_3.50_4.30.out:!    total energy              =    -901.81053191 Ry
relax_hzno_3.45_4.50.out:!    total energy              =    -901.81097562 Ry
relax_hzno_3.50_4.20.out:!    total energy              =    -901.81118412 Ry
relax_hzno_3.30_4.80.out:!    total energy              =    -901.81163443 Ry
relax_hzno_3.30_4.40.out:!    total energy              =    -901.81235820 Ry
relax_hzno_3.40_4.20.out:!    total energy              =    -901.81312065 Ry
relax_hzno_3.40_4.60.out:!    total energy              =    -901.81312468 Ry
relax_hzno_3.35_4.70.out:!    total energy              =    -901.81356352 Ry
relax_hzno_3.45_4.20.out:!    total energy              =    -901.81367628 Ry
relax_hzno_3.30_4.70.out:!    total energy              =    -901.81383030 Ry
relax_hzno_3.45_4.40.out:!    total energy              =    -901.81390087 Ry
relax_hzno_3.35_4.30.out:!    total energy              =    -901.81423439 Ry
relax_hzno_3.30_4.50.out:!    total energy              =    -901.81455276 Ry
relax_hzno_3.30_4.60.out:!    total energy              =    -901.81492363 Ry
relax_hzno_3.45_4.30.out:!    total energy              =    -901.81497233 Ry
relax_hzno_3.40_4.50.out:!    total energy              =    -901.81592109 Ry
relax_hzno_3.35_4.60.out:!    total energy              =    -901.81610852 Ry
relax_hzno_3.40_4.30.out:!    total energy              =    -901.81639030 Ry
relax_hzno_3.35_4.40.out:!    total energy              =    -901.81684509 Ry
relax_hzno_3.40_4.40.out:!    total energy              =    -901.81715374 Ry
relax_hzno_3.35_4.50.out:!    total energy              =    -901.81732854 Ry
