highest_occupied lowest_unoccupied Egap
ZnO-PBEU-4.00_4.50.out 8.3471 10.5919 2.2448
ZnO-PBEU-4.00_5.00.out 8.2874 10.6602 2.3728
ZnO-PBEU-4.00_5.50.out 8.2276 10.7268 2.4992
ZnO-PBEU-4.00_6.00.out 8.1675 10.7917 2.6242
ZnO-PBEU-4.00_6.50.out 8.1075 10.8551 2.7476
ZnO-PBEU-4.00_7.00.out 8.0477 10.9171 2.8694
ZnO-PBEU-4.00_7.50.out 7.9882 10.9775 2.9893
ZnO-PBEU-4.00_8.00.out 7.9291 11.0365 3.1074
ZnO-PBEU-4.00_8.50.out 7.8706 11.0942 3.2236
ZnO-PBEU-4.00_9.00.out 7.8127 11.1506 3.3379
ZnO-PBEU-4.00_9.50.out 7.7556 11.2057 3.4501
ZnO-PBEU-4.50_10.00.out 7.6280 11.2530 3.625
ZnO-PBEU-4.50_10.50.out 7.5696 11.3057 3.7361
ZnO-PBEU-4.50_11.00.out 7.5123 11.3572 3.8449
ZnO-PBEU-4.50_11.50.out 7.4561 11.4076 3.9515
ZnO-PBEU-4.50_12.00.out 7.4009 11.4570 4.0561
ZnO-PBEU-4.50_4.00.out 8.3653 10.5154 2.1501
ZnO-PBEU-4.50_4.50.out 8.3039 10.5854 2.2815
ZnO-PBEU-4.50_5.00.out 8.2421 10.6537 2.4116
ZnO-PBEU-4.50_5.50.out 8.1800 10.7203 2.5403
ZnO-PBEU-4.50_6.00.out 8.1176 10.7853 2.6677
ZnO-PBEU-4.50_6.50.out 8.0552 10.8487 2.7935
ZnO-PBEU-4.50_7.00.out 7.9929 10.9106 2.9177
ZnO-PBEU-4.50_7.50.out 7.9308 10.9710 3.0402
ZnO-PBEU-4.50_8.00.out 7.8691 11.0300 3.1609
ZnO-PBEU-4.50_8.50.out 7.8078 11.0876 3.2798
ZnO-PBEU-4.50_9.00.out 7.7471 11.1440 3.3969
ZnO-PBEU-4.50_9.50.out 7.6872 11.1991 3.5119
ZnO-PBEU-5.00_10.00.out 7.5603 11.2466 3.6863
ZnO-PBEU-5.00_10.50.out 7.4991 11.2993 3.8002
ZnO-PBEU-5.00_11.00.out 7.4388 11.3508 3.912
ZnO-PBEU-5.00_11.50.out 7.3795 11.4012 4.0217
ZnO-PBEU-5.00_12.00.out 7.3214 11.4506 4.1292
ZnO-PBEU-5.00_4.00.out 8.3264 10.5091 2.1827
ZnO-PBEU-5.00_4.50.out 8.2631 10.5791 2.316
ZnO-PBEU-5.00_5.00.out 8.1993 10.6474 2.4481
ZnO-PBEU-5.00_5.50.out 8.1349 10.7140 2.5791
ZnO-PBEU-5.00_6.00.out 8.0704 10.7789 2.7085
ZnO-PBEU-5.00_6.50.out 8.0058 10.8424 2.8366
ZnO-PBEU-5.00_7.00.out 7.9410 10.9042 2.9632
ZnO-PBEU-5.00_7.50.out 7.8765 10.9647 3.0882
ZnO-PBEU-5.00_8.00.out 7.8122 11.0237 3.2115
ZnO-PBEU-5.00_8.50.out 7.7483 11.0812 3.3329
