sim_id,supercelula,num_atomos,atom_id,atom_type,energia_total_eV,Volume_A³,energia_total_Ry,Volume_(a.u)^3,fx_Ry_bohr,fy_Ry_bohr,fz_Ry_bohr,modulo_Ry_bohr,modulo_eV_A,label_atom
ZnO-2.94-1.45-111,1x1x1,4,atom 1,1,-4914.31881826995,32.064748864969225,-361.19577399470035,216.3836512422221,-0.0,-0.0,-0.21624380374761829,0.21624380374761829,5.559851692105379,Zn
ZnO-2.94-1.45-111,1x1x1,4,atom 2,1,-4914.31881826995,32.064748864969225,-361.19577399470035,216.3836512422221,0.0,0.0,-0.21624380374761829,0.21624380374761829,5.559851692105379,Zn
ZnO-2.94-1.45-111,1x1x1,4,atom 3,2,-4914.31881826995,32.064748864969225,-361.19577399470035,216.3836512422221,0.0,0.0,0.21624380374761829,0.21624380374761829,5.559851692105379,O
ZnO-2.94-1.45-111,1x1x1,4,atom 4,2,-4914.31881826995,32.064748864969225,-361.19577399470035,216.3836512422221,0.0,0.0,0.21624380374761829,0.21624380374761829,5.559851692105379,O
ZnO-2.94-1.49-111,1x1x1,4,atom 1,1,-4915.220202027284,32.777294916345156,-361.26202447944434,221.19215034895913,-0.0,-0.0,-0.15378245844206787,0.15378245844206787,3.9539059476735328,Zn
ZnO-2.94-1.49-111,1x1x1,4,atom 2,1,-4915.220202027284,32.777294916345156,-361.26202447944434,221.19215034895913,0.0,0.0,-0.15378245844206787,0.15378245844206787,3.9539059476735328,Zn
ZnO-2.94-1.49-111,1x1x1,4,atom 3,2,-4915.220202027284,32.777294916345156,-361.26202447944434,221.19215034895913,-0.0,-0.0,0.15378245844206787,0.15378245844206787,3.9539059476735328,O
ZnO-2.94-1.49-111,1x1x1,4,atom 4,2,-4915.220202027284,32.777294916345156,-361.26202447944434,221.19215034895913,0.0,0.0,0.15378245844206787,0.15378245844206787,3.9539059476735328,O
ZnO-2.94-1.52-111,1x1x1,4,atom 1,1,-4915.973006322495,33.489840967721065,-361.3173545750548,226.00064945569602,0.0,0.0,-0.10224120231578887,0.10224120231578887,2.6287269824469504,Zn
ZnO-2.94-1.52-111,1x1x1,4,atom 2,1,-4915.973006322495,33.489840967721065,-361.3173545750548,226.00064945569602,0.0,-0.0,-0.10224120231578887,0.10224120231578887,2.6287269824469504,Zn
ZnO-2.94-1.52-111,1x1x1,4,atom 3,2,-4915.973006322495,33.489840967721065,-361.3173545750548,226.00064945569602,0.0,0.0,0.10224120231578887,0.10224120231578887,2.6287269824469504,O
ZnO-2.94-1.52-111,1x1x1,4,atom 4,2,-4915.973006322495,33.489840967721065,-361.3173545750548,226.00064945569602,0.0,0.0,0.10224120231578887,0.10224120231578887,2.6287269824469504,O
ZnO-2.94-1.55-111,1x1x1,4,atom 1,1,-4916.5994019026975,34.20238701909699,-361.3633938014023,230.80914856243302,0.0,0.0,-0.06005151548666766,0.06005151548666766,1.543986529120231,Zn
ZnO-2.94-1.55-111,1x1x1,4,atom 2,1,-4916.5994019026975,34.20238701909699,-361.3633938014023,230.80914856243302,0.0,0.0,-0.06005151548666766,0.06005151548666766,1.543986529120231,Zn
ZnO-2.94-1.55-111,1x1x1,4,atom 3,2,-4916.5994019026975,34.20238701909699,-361.3633938014023,230.80914856243302,0.0,0.0,0.06005151548666766,0.06005151548666766,1.543986529120231,O
ZnO-2.94-1.55-111,1x1x1,4,atom 4,2,-4916.5994019026975,34.20238701909699,-361.3633938014023,230.80914856243302,0.0,-0.0,0.06005151548666766,0.06005151548666766,1.543986529120231,O
ZnO-2.94-1.58-111,1x1x1,4,atom 1,1,-4917.118557419086,34.91493307047292,-361.40155102837514,235.61764766917005,-0.0,-0.0,-0.025773828062898983,0.025773828062898983,0.6626717579144522,Zn
