 &plot nbnd=  36, nks=    36 /
            0.000000  0.000000  0.000000
 -114.290 -114.290  -68.476  -68.473  -68.471  -68.471  -68.471  -68.471   -8.604   -7.926
    3.563    3.563    3.619    3.740    3.740    3.809    4.616    4.616    4.810    4.810
    5.096    8.386    8.386    9.060    9.134    9.134    9.947   14.297   17.284   21.916
   21.916   23.045   23.121   23.121   25.550   27.158
            0.100000  0.057735  0.000000
 -114.290 -114.290  -68.476  -68.473  -68.471  -68.471  -68.471  -68.471   -8.553   -7.904
    3.512    3.594    3.651    3.736    3.783    3.878    4.596    4.613    4.815    4.863
    5.084    8.031    8.258    8.531    8.998    9.065   10.675   14.698   17.285   20.928
   22.004   22.400   23.181   23.240   25.071   26.563
            0.200000  0.115470  0.000000
 -114.290 -114.290  -68.476  -68.473  -68.472  -68.471  -68.471  -68.471   -8.412   -7.847
    3.407    3.668    3.675    3.782    3.903    4.072    4.544    4.620    4.824    5.024
    5.053    7.183    7.790    7.925    8.805    8.879   11.787   15.599   17.279   19.388
   21.149   22.236   22.770   23.277   24.344   26.440
            0.300000  0.173205  0.000000
 -114.290 -114.290  -68.475  -68.474  -68.472  -68.472  -68.471  -68.471   -8.223   -7.786
    3.334    3.656    3.746    3.920    4.074    4.274    4.520    4.662    4.835    5.027
    5.270    6.293    7.102    7.505    8.487    8.634   12.973   16.415   17.184   18.142
   20.210   21.722   22.438   23.067   24.658   27.183
            0.400000  0.230940  0.000000
 -114.290 -114.290  -68.475  -68.474  -68.473  -68.472  -68.472  -68.471   -8.046   -7.755
    3.352    3.641    3.793    4.095    4.235    4.255    4.625    4.733    4.847    5.054
    5.333    5.824    6.567    7.144    8.114    8.423   14.118   16.609   16.737   17.560
   19.759   21.368   22.341   23.097   24.809   27.321
            0.500000  0.288675  0.000000
 -114.290 -114.290  -68.475  -68.474  -68.473  -68.472  -68.472  -68.471   -7.964   -7.755
    3.394    3.635    3.806    4.192    4.214    4.302    4.665    4.773    4.853    4.928
    5.429    5.697    6.424    6.996    7.916    8.340   14.831   16.012   16.751   17.458
   19.608   21.439   22.248   23.165   24.794   27.373
            0.500000  0.288675  0.062213
 -114.290 -114.290  -68.475  -68.474  -68.473  -68.472  -68.472  -68.471   -7.958   -7.760
    3.379    3.597    3.816    4.184    4.196    4.287    4.690    4.774    4.848    4.928
    5.410    5.674    6.536    7.034    7.953    8.309   14.771   15.952   16.818   17.477
   19.579   21.514   22.268   23.140   24.433   27.440
            0.500000  0.288675  0.124426
 -114.290 -114.290  -68.475  -68.474  -68.473  -68.472  -68.472  -68.471   -7.941   -7.772
    3.339    3.501    3.843    4.162    4.163    4.243    4.745    4.777    4.835    4.927
    5.378    5.616    6.819    7.142    8.033    8.221   14.650   15.775   16.973   17.517
   19.545   21.638   22.326   23.068   23.841   27.489
            0.500000  0.288675  0.186640
 -114.290 -114.290  -68.475  -68.474  -68.472  -68.472  -68.471  -68.471   -7.916   -7.793
    3.291    3.389    3.888    4.134    4.140    4.177    4.781    4.804    4.820    4.923
    5.366    5.544    7.181    7.303    8.082    8.083   14.583   15.498   17.145   17.535
