 &plot nbnd=  36, nks=    36 /
            0.000000  0.000000  0.000000
 -113.710 -113.669  -67.883  -67.868  -67.868  -67.865  -67.861  -67.861   -7.580   -7.318
   -0.771   -0.771   -0.683   -0.525   -0.525    0.443    0.443    0.475    0.750    0.750
    1.848    6.584    6.584    7.412    7.499    7.499   10.913   15.193   18.333   22.787
   22.787   24.089   24.089   24.099   26.435   28.138
            0.100000  0.057735  0.000000
 -113.711 -113.674  -67.885  -67.869  -67.866  -67.866  -67.861  -67.861   -7.566   -7.302
   -0.811   -0.724   -0.630   -0.516   -0.459    0.303    0.414    0.437    0.757    1.052
    1.878    6.172    6.423    6.997    7.335    7.416   11.466   15.593   18.315   21.786
   22.899   23.358   24.222   24.240   25.995   27.491
            0.200000  0.115470  0.000000
 -113.714 -113.687  -67.887  -67.871  -67.868  -67.864  -67.863  -67.861   -7.520   -7.264
   -0.884   -0.613   -0.574   -0.422   -0.275    0.230    0.337    0.447    0.771    1.411
    2.084    5.125    6.002    6.037    7.103    7.188   12.606   16.514   18.247   20.248
   22.113   23.184   23.711   24.281   25.403   27.349
            0.300000  0.173205  0.000000
 -113.718 -113.701  -67.889  -67.874  -67.870  -67.865  -67.863  -67.862   -7.444   -7.220
   -0.954   -0.531   -0.513   -0.193   -0.018    0.225    0.355    0.519    0.786    1.527
    2.601    3.887    5.057    5.469    6.721    6.889   13.865   17.339   18.043   19.050
   21.228   22.632   23.408   24.103   25.764   28.285
            0.400000  0.230940  0.000000
 -113.721 -113.710  -67.890  -67.877  -67.873  -67.867  -67.864  -67.863   -7.368   -7.187
   -0.993   -0.468   -0.433    0.092    0.204    0.213    0.513    0.640    0.800    1.485
    2.728    3.296    4.291    5.012    6.265    6.633   15.047   17.440   17.581   18.519
   20.811   22.342   23.281   24.202   25.895   28.540
            0.500000  0.288675  0.000000
 -113.723 -113.713  -67.890  -67.878  -67.874  -67.867  -67.864  -67.863   -7.335   -7.175
   -1.002   -0.459   -0.371    0.080    0.304    0.465    0.627    0.707    0.807    1.214
    2.552    3.304    4.115    4.827    6.017    6.531   15.763   16.874   17.537   18.433
   20.657   22.461   23.180   24.295   25.865   28.669
            0.500000  0.288675  0.062511
 -113.723 -113.713  -67.890  -67.878  -67.874  -67.868  -67.865  -67.863   -7.326   -7.173
   -1.015   -0.451   -0.444    0.076    0.283    0.443    0.686    0.708    0.800    1.215
    2.503    3.244    4.272    4.875    6.065    6.493   15.685   16.814   17.636   18.458
   20.613   22.524   23.205   24.264   25.498   28.735
            0.500000  0.288675  0.125023
 -113.723 -113.715  -67.888  -67.877  -67.873  -67.868  -67.865  -67.863   -7.302   -7.169
   -1.051   -0.632   -0.398    0.071    0.221    0.381    0.711    0.781    0.818    1.214
    2.425    3.093    4.656    5.012    6.166    6.382   15.535   16.635   17.857   18.518
   20.536   22.611   23.276   24.177   24.904   28.761
            0.500000  0.288675  0.187534
 -113.723 -113.717  -67.885  -67.876  -67.873  -67.870  -67.866  -67.864   -7.266   -7.168
   -1.091   -0.828   -0.325    0.073    0.126    0.296    0.715    0.761    0.955    1.207
    2.397    2.901    5.127    5.217    6.208    6.228   15.447   16.354   18.097   18.566
   20.555   22.392   23.389   24.044   24.800   28.268
            0.500000  0.288675  0.250045
 -113.723 -113.720  -67.881  -67.875  -67.874  -67.871  -67.866  -67.864   -7.229   -7.176
   -1.109   -0.986   -0.228    0.009    0.095    0.211    0.722    0.744    1.065    1.185
    2.442    2.713    5.465    5.583    5.984    6.167   15.501   16.018   18.302   18.550
   20.782   21.826   23.537   23.881   25.345   27.289
            0.500000  0.288675  0.312557
 -113.722 -113.722  -67.878  -67.878  -67.873  -67.873  -67.865  -67.865   -7.196   -7.196
   -1.080   -1.080   -0.113   -0.113    0.141    0.141    0.731    0.731    1.140    1.140
    2.553    2.553    5.729    5.729    5.947    5.947   15.707   15.707   18.457   18.457
   21.230   21.230   23.706   23.706   26.243   26.243
            0.400000  0.230940  0.312557
 -113.720 -113.720  -67.877  -67.877  -67.872  -67.872  -67.864  -67.864   -7.223   -7.223
   -1.062   -1.062   -0.160   -0.160    0.013    0.013    0.700    0.700    0.983    0.983
